possession_1st,possession_2nd,shots_1st,shots_2nd,shots_on_target_1st,shots_on_target_2nd,corners_1st,corners_2nd,passes_1st,passes_2nd,accurate_passes_1st,accurate_passes_2nd,crosses_1st,crosses_2nd,accurate_crosses_1st,accurate_crosses_2nd,successful_tackles_1st,successful_tackles_2nd,fouls_1st,fouls_2nd,offsides_1st,offsides_2nd,yellow_cards_1st,yellow_cards_2nd,red_cards_1st,red_cards_2nd,team_1st,team_2nd,score_1st,score_2nd
,,,,,,,,,,,,,,,,,,,,,,,,,,WISŁA PŁOCK,GÓRNIK ŁĘCZNA,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,GÓRNIK ZABRZE,CRACOVIA,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,LECH POZNAŃ,RAKÓW CZĘSTOCHOWA,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,LEGIA WARSZAWA,ŚLĄSK WROCŁAW,1,0
52,48,15,7,8,2,4,4,352,413,275,331,,,,,13,22,23,19,0,0,3,3,0,0,RAKÓW CZĘSTOCHOWA,WISŁA PŁOCK,2,0
54,46,18,5,8,2,3,0,438,468,348,389,,,,,33,19,19,22,0,0,1,3,0,0,LEGIA WARSZAWA,WISŁA KRAKÓW,2,1
44,56,6,8,1,5,2,2,444,523,333,426,,,,,21,14,18,14,0,2,3,4,0,0,POGOŃ SZCZECIN,LECH POZNAŃ,0,3
43,57,7,22,4,3,1,8,347,577,266,479,,,,,19,18,19,13,1,3,3,1,0,0,GÓRNIK ŁĘCZNA,PGE FKS STAL MIELEC,2,0
48,52,7,7,2,1,4,4,463,500,354,380,,,,,14,22,13,15,5,3,1,1,0,0,PIAST GLIWICE,GÓRNIK ZABRZE,0,0
38,62,3,7,1,1,1,2,382,615,301,525,,,,,17,13,16,17,0,3,2,3,1,0,JAGIELLONIA BIAŁYSTOK,WARTA POZNAŃ,1,1
37,63,10,11,6,2,1,6,264,519,178,413,,,,,27,16,17,13,5,1,1,0,0,0,RADOMIAK RADOM,LECHIA GDAŃSK,2,0
54,46,21,9,5,1,8,4,547,479,413,375,,,,,23,18,7,14,0,4,0,1,0,0,ŚLĄSK WROCŁAW,KGHM ZAGŁĘBIE LUBIN,0,0
58,42,12,7,3,2,5,3,493,367,419,279,,,,,12,22,20,15,2,0,1,4,0,0,CRACOVIA,BRUK-BET TERMALICA NIECIECZA,1,2
44,56,16,16,7,6,9,9,419,555,335,448,,,,,21,18,15,10,0,1,2,2,0,0,KGHM ZAGŁĘBIE LUBIN,WISŁA PŁOCK,3,1
39,61,5,18,3,8,3,10,353,581,275,480,,,,,9,10,13,11,0,3,1,4,0,0,PGE FKS STAL MIELEC,POGOŃ SZCZECIN,0,1
52,48,11,17,2,1,7,2,463,426,367,340,,,,,18,25,14,10,3,2,1,2,0,0,JAGIELLONIA BIAŁYSTOK,CRACOVIA,0,0
59,41,9,7,3,2,4,1,574,417,471,328,,,,,19,28,8,12,3,7,2,3,0,0,ŚLĄSK WROCŁAW,PIAST GLIWICE,1,3
62,38,7,12,2,3,6,8,512,338,428,253,,,,,10,17,18,23,1,1,2,6,0,1,BRUK-BET TERMALICA NIECIECZA,LEGIA WARSZAWA,0,0
47,53,12,12,6,5,5,3,383,455,297,370,,,,,17,15,20,13,3,1,1,2,0,0,WARTA POZNAŃ,RADOMIAK RADOM,3,1
44,56,13,14,4,8,5,7,394,494,293,415,,,,,32,11,17,6,2,2,1,1,0,0,GÓRNIK ZABRZE,RAKÓW CZĘSTOCHOWA,1,1
46,54,8,20,2,7,5,9,406,514,316,425,,,,,19,16,10,8,2,4,2,0,0,0,LECHIA GDAŃSK,LECH POZNAŃ,1,0
53,47,14,7,3,1,10,7,523,393,425,288,,,,,24,25,13,9,2,1,1,1,0,0,WISŁA KRAKÓW,GÓRNIK ŁĘCZNA,0,0
43,57,12,22,6,8,5,10,329,464,175,305,,,,,23,24,7,14,2,3,4,2,1,0,GÓRNIK ŁĘCZNA,ŚLĄSK WROCŁAW,1,1
44,56,19,10,6,1,11,5,347,398,250,313,,,,,24,14,22,15,4,0,0,2,0,0,CRACOVIA,LECHIA GDAŃSK,2,0
57,43,8,15,0,6,3,4,580,414,465,320,,,,,24,23,17,13,4,4,2,2,0,0,WISŁA KRAKÓW,PGE FKS STAL MIELEC,0,1
56,44,12,10,1,4,3,4,423,347,324,261,,,,,30,24,19,20,2,0,3,6,0,0,RADOMIAK RADOM,RAKÓW CZĘSTOCHOWA,0,1
55,45,18,8,11,1,10,4,460,381,381,306,,,,,20,21,8,16,4,1,1,1,0,0,LECH POZNAŃ,BRUK-BET TERMALICA NIECIECZA,5,0
46,54,11,16,5,9,7,6,396,407,300,323,,,,,22,19,14,19,1,0,3,2,0,0,WISŁA PŁOCK,PIAST GLIWICE,0,2
